Date,3105.TWO,3037.TW,6515.TW,00981A.TW,2383.TW,3081.TWO,6274.TWO,2454.TW
2025-05-22,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2025-05-23,-0.01321591,0.03921569,0.01355579,0.00000000,-0.00560224,0.01757469,-0.02719033,-0.00754717
2025-05-26,-0.00669641,-0.01886792,0.09567901,0.00000000,-0.00422535,0.02245250,-0.00310559,-0.02661597
2025-05-27,-0.05280895,0.06250000,-0.01408451,0.00000000,-0.00141443,-0.03209459,-0.00934579,0.00000000
2025-05-28,0.01542106,-0.00904977,-0.00952381,0.00505553,0.02124646,-0.00872600,0.05031447,0.00000000
2025-05-29,0.00116821,-0.03196347,0.06730769,0.01207252,0.03883495,0.03697183,0.02694611,-0.01562500
2025-06-02,-0.02917153,-0.04716981,-0.03603604,-0.01292248,0.01201602,-0.04923599,0.01457726,0.00000000
2025-06-03,-0.02043266,0.00990099,0.00000000,0.01007044,0.03430079,0.01071429,0.07758621,0.01190476
2025-06-04,0.05398775,0.00980392,0.01401869,0.01495519,-0.00510204,0.01413428,0.00000000,0.00000000
2025-06-05,-0.01047732,0.00000000,0.00460829,0.00196459,0.01153846,-0.09059233,0.00533333,-0.02352941
2025-06-06,-0.01176471,0.00000000,0.00000000,-0.00588230,-0.00126743,-0.02681992,0.00265252,0.02811245
2025-06-09,0.00714284,-0.02912621,0.02752294,0.00986188,0.04060914,0.03149606,0.09788360,0.00390625
2025-06-10,0.01182033,0.07000000,0.04910714,0.02539065,0.08536585,0.09923664,0.04578313,0.03891051
2025-06-11,0.01635516,0.01869159,0.00851064,0.01047616,-0.01910112,0.09895833,0.00230415,-0.01498127
2025-06-12,0.01149425,-0.01834862,-0.02531646,0.00282759,-0.01718213,0.03159558,-0.01609195,-0.02281369
2025-06-13,-0.04545455,-0.04205607,-0.00865801,0.00093978,0.00233100,-0.00765697,-0.01168224,-0.02723735
2025-06-16,-0.00357146,0.00487805,0.01310044,0.00469485,0.02209302,-0.00925926,0.02364066,0.00400000
2025-06-17,0.00477899,-0.01456311,0.06465517,0.00373831,-0.01365188,-0.03426791,-0.00461894,0.01593625
