id,category,name,desc,alias,waste,kcal,kcal_adj,water,protein,fat,satfat,carb,fiber,sugar,sodium,vitA,vitC,potassium,calcium,magnesium,iron,zinc
A0100101,穀物類,大麥仁,"樣品狀態:生,已去殼; 前處理描述:混合均勻磨碎","小薏仁,洋薏仁,珍珠薏仁",0.0,364.6228,346.6895,11.6693,8.5578,1.5935,0.4673,77.1418,8.4591,0.425,12.6115,0.8079,0.1827,249.1658,25.88,54.4337,1.7745,1.228
A0110101,穀物類,大麥片,樣品狀態:生; 前處理描述:混合均勻打碎,,,364.6155,351.8982,12.09,8.636,1.79,0.4558,76.6666,5.9987,,7.185,,0.1826,245.965,12.665,55.185,2.245,0.826
A0120101,穀物類,大麥仁粉,樣品狀態:烘烤過; 前處理描述:混合均勻,"小薏仁粉,洋薏仁粉,珍珠薏仁粉",,388.8475,373.5733,5.733,7.118,1.3142,0.3678,84.9554,7.2048,0.0,9.83,,0.229,307.271,25.2358,49.8125,1.145,1.333
A0200101,穀物類,小米,"樣品狀態:生,已去殼; 前處理描述:混合均勻磨碎",,,370.1938,365.4819,12.26,11.3135,3.655,0.4416,71.6907,2.2226,,1.0,,0.3249,201.92,4.795,107.75,2.89,2.2825
A0200201,穀物類,糯小米,樣品狀態:生; 前處理描述:混合均勻磨碎,,,360.1972,357.167,12.864,12.465,1.5164,0.2565,72.5162,1.4293,0.0,1.206,,0.1932,142.4715,8.598,47.8325,2.2355,2.0345
A0300101,穀物類,小麥,"樣品狀態:生,已去殼; 前處理描述:混合均勻磨碎",,,361.6418,337.7443,12.63,14.118,2.565,0.4667,69.1678,11.2724,,1.37,,0.2655,364.35,18.875,137.285,3.39,2.998
A0310101,穀物類,小麥胚芽,樣品狀態:生; 前處理描述:混合均勻打碎,,,417.0033,395.8457,4.23,31.362,11.585,1.7347,47.9154,9.98,,3.115,,1.4018,986.125,44.98,333.04,6.005,14.946
A0320101,穀物類,去筋麵粉,前處理描述:混合均勻,澄粉,,354.9493,353.9987,13.643,0.181,0.1165,0.0,85.7443,0.4484,0.0,28.606,,0.023,9.027,6.5847,2.3713,0.0,0.0
A0320202,穀物類,低筋麵粉,前處理描述:混合均勻,,,363.6075,359.4091,12.045,8.0855,1.175,0.2458,78.1938,1.9804,,1.43,,0.0746,147.535,12.38,26.44,1.19,0.599
A0320301,穀物類,中筋麵粉,前處理描述:混合均勻,,,361.0283,357.1774,12.635,11.4535,1.31,0.2763,74.0972,1.8165,,3.65,,0.0818,124.835,11.67,28.77,0.915,0.6825
A0320404,穀物類,高筋麵粉,前處理描述:混合均勻,,,361.5771,357.5894,12.25,12.945,1.19,0.2538,73.0587,1.881,,0.8,,0.0745,107.835,11.195,33.455,1.165,0.8525
A0320405,穀物類,高筋麵粉(2021年取樣),前處理描述:混合均勻,強力粉,0.0,362.2052,356.9877,12.34,13.805,1.2755,0.4902,72.2213,2.4611,0.333,0.98,0.398,0.0,97.78,14.225,30.11,0.9,0.98
A0320505,穀物類,全麥麵粉,"前處理描述:混合均勻(高筋麵粉,麩皮等)",,,359.2716,342.2919,12.736,12.968,1.706,0.3209,71.429,8.0093,0.3445,1.6383,,0.2427,276.5703,22.712,96.5543,3.3687,2.3437
A0320601,穀物類,雜糧中筋麵粉,"前處理描述:混合均勻(中筋麵粉,全麥麵粉,裸麥,小黑麥,燕麥,玉米,大豆,糙米,小米,亞麻籽等)",,,360.9425,349.5735,11.652,13.113,2.2865,0.6377,71.978,5.6845,0.835,1.906,,0.083,207.31,23.678,52.348,1.769,1.666
