year,month,revenue_ntd_k,yoy_pct,mom_pct,cum_revenue_ntd_k
2024,8,226345,114.73,3.55,1333926
2024,9,276382,128.85,22.11,1610308
2024,10,321772,103.36,16.42,1932080
2024,11,319893,101.54,-0.58,2251973
2024,12,347412,124.54,8.60,2599385
2025,1,273970,80.95,-21.14,273970
2025,2,256117,174.26,-6.52,530087
2025,3,313349,103.45,22.35,843436
2025,4,402685,163.61,28.51,1246121
2025,5,433806,164.96,7.73,1679926
2025,6,434357,150.07,0.13,2114283
2025,7,453557,107.49,4.42,2567841
2025,8,482247,113.06,6.33,3050087
2025,9,478978,73.30,-0.68,3529065
2025,10,498685,54.98,4.11,4027750
2025,11,490789,53.42,-1.58,4518539
2025,12,559398,61.02,13.98,5077937
2026,1,601545,119.57,7.53,601545
2026,2,571184,123.02,-5.05,1172728
2026,3,773478,146.84,35.42,1946206
2026,4,862675,114.23,11.53,2808881
2026,5,955547,120.27,10.77,3764428
2026,6,1040999,139.66,8.94,4805427
2026,7,1146916,152.87,10.17,5952343
2026,8,1219982,152.98,6.37,7172325
