113_8 ['3167', '大量', '226345', '218592', '105410', '3.54', '1333926', '699832', '90.60', '主係因客戶需求量增加所致']
113_9 ['3167', '大量', '276382', '226345', '120769', '22.10', '1610308', '820601', '96.23', '主係因客戶需求量增加所致']
113_10 ['3167', '大量', '321772', '276382', '158231', '16.42', '1932080', '978832', '97.38', '主係因客戶需求量增加所致']
113_11 ['3167', '大量', '319893', '321772', '158724', '-0.58', '2251973', '1137556', '97.96', '主係因客戶需求量增加所致']
113_12 ['3167', '大量', '347412', '319893', '154720', '8.60', '2599385', '1292276', '101.14', '主係因客戶需求量增加所致']
114_1 ['3167', '大量', '273970', '347412', '151408', '-21.13', '273970', '151408', '80.94', '主係因客戶需求量增加所致']
114_2 ['3167', '大量', '256117', '273970', '93384', '-6.51', '530087', '244792', '116.54', '主係因客戶需求量增加所致']
114_3 ['3167', '大量', '313349', '256117', '154019', '22.34', '843436', '398811', '111.48', '主係因客戶需求量增加所致']
114_4 ['3167', '大量', '402685', '313349', '152758', '28.51', '1246121', '551569', '125.92', '主係因客戶需求量增加所致，其中包括半導體與PCB高階機型較去年同期增加']
114_5 ['3167', '大量', '433806', '402685', '163728', '7.72', '1679926', '715297', '134.85', '主係因客戶需求量增加所致，其中包括半導體與PCB高階機型較去年同期增加']
114_6 ['3167', '大量', '434357', '433806', '173692', '0.12', '2114283', '888989', '137.83', '主係因客戶需求量增加所致，其中包括半導體與PCB高階機型較去年同期增加']
114_7 ['3167', '大量', '453557', '434357', '218592', '4.42', '2567841', '1107580', '131.84', '主係因客戶需求量增加所致，其中包括半導體與PCB高階機型較去年同期增加']
114_8 ['3167', '大量', '482247', '453557', '226345', '6.32', '3050087', '1333926', '128.65', '主係因客戶需求量增加所致']
114_9 ['3167', '大量', '478978', '482247', '276382', '-0.67', '3529065', '1610308', '119.15', '主係因客戶需求量增加所致']
114_10 ['3167', '大量', '498685', '478978', '321772', '4.11', '4027750', '1932080', '108.46', '主係因客戶需求量增加所致']
114_11 ['3167', '大量', '490789', '498685', '319893', '-1.58', '4518539', '2251973', '100.64', '主係因客戶需求量增加所致']
114_12 ['3167', '大量', '559398', '490789', '347412', '13.97', '5077937', '2599385', '95.35', '主係因客戶需求量增加所致']
115_1 ['3167', '大量', '601545', '559398', '273970', '7.53', '601545', '273970', '119.56', '主係因客戶需求量增加所致']
115_2 ['3167', '大量', '571184', '601545', '256117', '-5.04', '1172728', '530087', '121.23', '主係因客戶需求量增加所致']
115_3 ['3167', '大量', '773478', '571184', '313349', '35.41', '1946206', '843436', '130.74', '主係因客戶需求量增加所致']
115_4 ['3167', '大量', '862675', '773478', '402685', '11.53', '2808881', '1246121', '125.40', '主係因客戶需求量增加所致']
115_5 ['3167', '大量', '955547', '862675', '433806', '10.76', '3764428', '1679926', '124.08', '主係因客戶需求量增加所致']
115_6 ['3167', '大量', '1040999', '955547', '434357', '8.94', '4805427', '2114283', '127.28', '主係因客戶需求量增加所致']
115_7 ['3167', '大量', '1146916', '1040999', '453557', '10.17', '5952343', '2567841', '131.80', '主係因客戶需求量增加所致']
115_8 ['3167', '大量', '1219982', '1146916', '482247', '6.37', '7172325', '3050087', '135.15', '主係因客戶需求量增加所致']
