=== 2026-04 ===
董事長本人 | 焦平海 | cur_hold=12,646,405 | pledge=0
董事本人 | 吳南陽 | cur_hold=0 | pledge=0
董事本人 | 華榮電線電纜（股）公司 | cur_hold=5,951,040 | pledge=0
董事之法人代表人 | 劉秀美 | cur_hold=0 | pledge=0
董事本人 | 偉海投資有限公司 | cur_hold=1,670,218 | pledge=0
董事之法人代表人 | 劉鎮圖 | cur_hold=124 | pledge=0
董事本人 | 邰中和 | cur_hold=1,518,162 | pledge=140,000
獨立董事本人 | 蔡永松 | cur_hold=0 | pledge=0
獨立董事本人 | 周德瑋 | cur_hold=0 | pledge=0
獨立董事本人 | 林鳳儀 | cur_hold=0 | pledge=0
獨立董事本人 | 洪瑞華 | cur_hold=34,838 | pledge=0
總經理本人 | 張憲元 | cur_hold=616,213 | pledge=0
副總經理本人 | 廖光忠 | cur_hold=304,213 | pledge=0
副總經理本人 | 宋永成 | cur_hold=222,899 | pledge=0
副總經理本人 | 鄒柏林 | cur_hold=120,000 | pledge=0
副總經理本人 | 林隆智 | cur_hold=101,000 | pledge=0
副總經理本人 | 戴建中 | cur_hold=0 | pledge=0
財務部門主管本人 | 林冠均 | cur_hold=0 | pledge=0
會計部門主管本人 | 廖士毅 | cur_hold=0 | pledge=0
=== 2026-05 ===
董事長本人 | 焦平海 | cur_hold=12,646,405 | pledge=0
董事本人 | 吳南陽 | cur_hold=0 | pledge=0
董事本人 | 華榮電線電纜（股）公司 | cur_hold=5,801,040 | pledge=0
董事之法人代表人 | 劉秀美 | cur_hold=0 | pledge=0
董事本人 | 偉海投資有限公司 | cur_hold=1,670,218 | pledge=0
董事之法人代表人 | 劉鎮圖 | cur_hold=124 | pledge=0
董事本人 | 邰中和 | cur_hold=1,518,162 | pledge=140,000
獨立董事本人 | 蔡永松 | cur_hold=0 | pledge=0
獨立董事本人 | 周德瑋 | cur_hold=0 | pledge=0
獨立董事本人 | 林鳳儀 | cur_hold=0 | pledge=0
獨立董事本人 | 洪瑞華 | cur_hold=34,838 | pledge=0
總經理本人 | 張憲元 | cur_hold=616,213 | pledge=0
副總經理本人 | 廖光忠 | cur_hold=304,213 | pledge=0
副總經理本人 | 宋永成 | cur_hold=213,899 | pledge=0
副總經理本人 | 鄒柏林 | cur_hold=120,000 | pledge=0
副總經理本人 | 林隆智 | cur_hold=88,000 | pledge=0
副總經理本人 | 戴建中 | cur_hold=0 | pledge=0
財務部門主管本人 | 林冠均 | cur_hold=0 | pledge=0
會計部門主管本人 | 廖士毅 | cur_hold=0 | pledge=0
=== 2026-06 ===
董事長本人 | 焦平海 | cur_hold=13,064,185 | pledge=0
董事本人 | 吳南陽 | cur_hold=0 | pledge=0
董事本人 | 華榮電線電纜（股）公司 | cur_hold=5,591,040 | pledge=0
董事之法人代表人 | 劉秀美 | cur_hold=0 | pledge=0
董事本人 | 偉海投資有限公司 | cur_hold=1,716,807 | pledge=0
董事之法人代表人 | 劉鎮圖 | cur_hold=124 | pledge=0
董事本人 | 邰中和 | cur_hold=1,492,162 | pledge=140,000
獨立董事本人 | 蔡永松 | cur_hold=0 | pledge=0
獨立董事本人 | 周德瑋 | cur_hold=0 | pledge=0
獨立董事本人 | 林鳳儀 | cur_hold=0 | pledge=0
獨立董事本人 | 洪瑞華 | cur_hold=34,838 | pledge=0
總經理本人 | 張憲元 | cur_hold=633,401 | pledge=0
副總經理本人 | 廖光忠 | cur_hold=332,698 | pledge=0
副總經理本人 | 宋永成 | cur_hold=236,116 | pledge=0
副總經理本人 | 鄒柏林 | cur_hold=143,347 | pledge=0
副總經理本人 | 林隆智 | cur_hold=101,012 | pledge=0
副總經理本人 | 戴建中 | cur_hold=15,000 | pledge=0
財務部門主管本人 | 林冠均 | cur_hold=5,000 | pledge=0
會計部門主管本人 | 廖士毅 | cur_hold=0 | pledge=0
=== 2026-07 ===
董事長本人 | 焦平海 | cur_hold=13,064,185 | pledge=0
董事本人 | 吳南陽 | cur_hold=0 | pledge=0
董事本人 | 華榮電線電纜（股）公司 | cur_hold=5,471,040 | pledge=0
董事之法人代表人 | 劉秀美 | cur_hold=0 | pledge=0
董事本人 | 偉海投資有限公司 | cur_hold=1,716,807 | pledge=0
董事之法人代表人 | 劉鎮圖 | cur_hold=124 | pledge=0
董事本人 | 邰中和 | cur_hold=1,455,162 | pledge=0
獨立董事本人 | 蔡永松 | cur_hold=0 | pledge=0
獨立董事本人 | 周德瑋 | cur_hold=0 | pledge=0
獨立董事本人 | 林鳳儀 | cur_hold=0 | pledge=0
獨立董事本人 | 洪瑞華 | cur_hold=34,838 | pledge=0
總經理本人 | 張憲元 | cur_hold=633,401 | pledge=0
副總經理本人 | 廖光忠 | cur_hold=332,698 | pledge=0
副總經理本人 | 毛瑞源 | cur_hold=68,729 | pledge=0
副總經理本人 | 宋永成 | cur_hold=231,116 | pledge=0
副總經理本人 | 鄒柏林 | cur_hold=134,347 | pledge=0
副總經理本人 | 林隆智 | cur_hold=101,012 | pledge=0
副總經理本人 | 戴建中 | cur_hold=15,000 | pledge=0
財務部門主管本人 | 林冠均 | cur_hold=5,000 | pledge=0
會計部門主管本人 | 廖士毅 | cur_hold=0 | pledge=0
=== 2026-08 ===
董事長本人 | 焦平海 | cur_hold=13,064,185 | pledge=0
董事本人 | 吳南陽 | cur_hold=0 | pledge=0
董事本人 | 華榮電線電纜（股）公司 | cur_hold=5,361,040 | pledge=0
董事之法人代表人 | 劉秀美 | cur_hold=0 | pledge=0
董事本人 | 偉海投資有限公司 | cur_hold=1,716,807 | pledge=0
董事之法人代表人 | 劉鎮圖 | cur_hold=124 | pledge=0
董事本人 | 邰中和 | cur_hold=1,783,162 | pledge=250,000
獨立董事本人 | 蔡永松 | cur_hold=0 | pledge=0
獨立董事本人 | 周德瑋 | cur_hold=0 | pledge=0
獨立董事本人 | 林鳳儀 | cur_hold=0 | pledge=0
獨立董事本人 | 洪瑞華 | cur_hold=34,838 | pledge=0
總經理本人 | 張憲元 | cur_hold=633,401 | pledge=0
副總經理本人 | 廖光忠 | cur_hold=332,698 | pledge=0
副總經理本人 | 毛瑞源 | cur_hold=68,729 | pledge=0
副總經理本人 | 宋永成 | cur_hold=228,116 | pledge=0
副總經理本人 | 鄒柏林 | cur_hold=134,347 | pledge=0
副總經理本人 | 林隆智 | cur_hold=101,012 | pledge=0
副總經理本人 | 戴建中 | cur_hold=15,000 | pledge=0
財務部門主管本人 | 林冠均 | cur_hold=5,000 | pledge=0
