=== Direct quarterly (start,end) available ===
RevenueFromContractWithCustomerExcludingAssessedTax
    2024-01-01 2024-06-30 181 (2139500000, '2025-11-10')
    2024-01-01 2024-09-30 273 (3239900000, '2025-11-10')
    2024-01-01 2024-12-31 365 (4189400000, '2026-02-27')
    2024-04-01 2024-06-30 90 (1133700000, '2025-11-10')
    2024-07-01 2024-09-30 91 (1100400000, '2025-11-10')
    2025-01-01 2025-03-31 89 (993900000, '2026-05-08')
    2025-01-01 2025-06-30 180 (2020500000, '2026-08-07')
    2025-01-01 2025-09-30 272 (3098500000, '2025-11-10')
    2025-01-01 2025-12-31 364 (4137100000, '2026-02-27')
    2025-04-01 2025-06-30 90 (1026600000, '2026-08-07')
    2025-07-01 2025-09-30 91 (1078000000, '2025-11-10')
    2026-01-01 2026-03-31 89 (1029700000, '2026-05-08')
    2026-01-01 2026-06-30 180 (2474900000, '2026-08-07')
    2026-04-01 2026-06-30 90 (1445100000, '2026-08-07')
GrossProfit
    2024-01-01 2024-06-30 181 (142300000, '2025-11-10')
    2024-01-01 2024-09-30 273 (147200000, '2025-11-10')
    2024-01-01 2024-12-31 365 (230800000, '2026-02-27')
    2024-04-01 2024-06-30 90 (63800000, '2025-11-10')
    2024-07-01 2024-09-30 91 (4900000, '2025-11-10')
    2025-01-01 2025-03-31 89 (-81400000, '2026-05-08')
    2025-01-01 2025-06-30 180 (-125000000, '2026-08-07')
    2025-01-01 2025-09-30 272 (248700000, '2025-11-10')
    2025-01-01 2025-12-31 364 (245700000, '2026-02-27')
    2025-04-01 2025-06-30 90 (-43600000, '2026-08-07')
    2025-07-01 2025-09-30 91 (373700000, '2025-11-10')
    2026-01-01 2026-03-31 89 (-87500000, '2026-05-08')
    2026-01-01 2026-06-30 180 (-69100000, '2026-08-07')
    2026-04-01 2026-06-30 90 (18300000, '2026-08-07')
OperatingIncomeLoss
    2024-01-01 2024-06-30 181 (42500000, '2025-11-10')
    2024-01-01 2024-09-30 273 (-14600000, '2025-11-10')
    2024-01-01 2024-12-31 365 (8100000, '2026-02-27')
    2024-04-01 2024-06-30 90 (6200000, '2025-11-10')
    2024-07-01 2024-09-30 91 (-57100000, '2025-11-10')
    2025-01-01 2025-03-31 89 (-48700000, '2026-05-08')
    2025-01-01 2025-06-30 180 (-149700000, '2026-08-07')
    2025-01-01 2025-09-30 272 (173200000, '2025-11-10')
    2025-01-01 2025-12-31 364 (108700000, '2026-02-27')
    2025-04-01 2025-06-30 90 (-101000000, '2026-08-07')
    2025-07-01 2025-09-30 91 (322900000, '2025-11-10')
    2026-01-01 2026-03-31 89 (-171300000, '2026-05-08')
    2026-01-01 2026-06-30 180 (-211300000, '2026-08-07')
    2026-04-01 2026-06-30 90 (-40000000, '2026-08-07')
NetIncomeLoss
